Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,type,Gene_Symbol
ENSG00000223972,1.989853101,-0.211944,0.187423745,-1.146706467,0.251502957,0.480023093,Not significant,DDX11L1
ENSG00000227232,1088.23095,-0.01932663,0.116015513,-0.166587156,0.8676949,0.939403195,Not significant,WASH7P
ENSG00000243485,27.28118843,0.229438418,0.250831322,0.914547486,0.360429238,0.592392078,Not significant,MIR1302-2HG
ENSG00000237613,2.834730327,0.294260134,0.210406224,1.418670152,0.155995203,0.355354196,Not significant,FAM138A
ENSG00000268020,2.313183681,0.360080739,0.199106332,1.818210883,0.069031907,0.201885601,Not significant,OR4G4P
ENSG00000240361,12.95842296,-0.081162528,0.267145945,-0.303850302,0.761241942,0.881154021,Not significant,OR4G11P
ENSG00000186092,8.717507477,0.397023943,0.263727007,1.500338066,0.133526854,0.320570478,Not significant,OR4F5
ENSG00000238009,264.7872065,0.110548794,0.139888541,0.790258808,0.429376638,0.652872974,Not significant,
ENSG00000233750,15.06963209,-0.349781237,0.26493281,-1.317416701,0.187698986,0.400199248,Not significant,CICP27
ENSG00000268903,158.7023047,-0.598560755,0.162873993,-3.672153584,0.000240515,0.002008196,Not significant,
ENSG00000269981,293.3473099,-0.470216949,0.144889359,-3.244587711,0.001176208,0.007886462,Not significant,
ENSG00000239906,19.7280826,-0.648819032,0.258458993,-2.494142539,0.012626183,0.055814627,Not significant,
ENSG00000241860,72.5462696,-0.318615053,0.19804241,-1.608247296,0.107781028,0.276312894,Not significant,
ENSG00000279928,10.79525697,-0.152989557,0.267448611,-0.571927001,0.567371431,0.759653708,Not significant,DDX11L17
ENSG00000279457,680.2241098,0.097570859,0.127429728,0.765686321,0.443862968,0.6655193,Not significant,WASH9P
ENSG00000228463,296.3839533,0.465993839,0.136234365,3.419652328,0.000627012,0.004578401,Not significant,RPL23AP21
ENSG00000237094,549.9407802,-0.505348162,0.115351933,-4.380251937,1.19E-05,0.000133982,Not significant,
ENSG00000230021,315.4768888,0.10995162,0.14448238,0.760998422,0.44665801,0.6681406,Not significant,
ENSG00000228794,1761.490747,0.001333704,0.109420173,0.012188856,0.990274941,0.999120575,Not significant,LINC01128
