"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"ENSG00000001617",465.625627214919,1.24930773726625,0.127179458892131,9.8122236470093,9.97458969330504e-23,4.80082829018661e-21,"SEMA3F"
"ENSG00000003137",55.521306107719,1.23121060553338,0.260934810257679,4.69829877963669,2.62337472692224e-06,2.06537304245491e-05,"CYP26B1"
"ENSG00000003436",14266.3866990693,2.43864817061617,0.0502724349866588,48.5012906695254,0,0,"TFPI"
"ENSG00000004139",139.322008013507,1.47647563305833,0.183517570992876,8.02810976238872,9.89859025564881e-16,2.72376532653472e-14,"SARM1"
"ENSG00000004848",37.5819170716385,1.70800498070355,0.289811089836876,6.13015585190725,8.77930281522094e-10,1.19381471097072e-08,"ARX"
"ENSG00000005471",56.3348238972944,1.39295331938484,0.243753767055066,5.62602437872178,1.84410295367343e-08,2.05314037910573e-07,"ABCB4"
"ENSG00000005882",128.133959554622,1.06746572297079,0.190739924867874,5.57988939183946,2.40671579838468e-08,2.63450265511339e-07,"PDK2"
"ENSG00000005961",4024.19875517996,2.13835467293976,0.0795450489264453,26.8703261342305,4.88232891521478e-159,8.54773734831227e-156,"ITGA2B"
"ENSG00000006432",152.993328962732,1.35395638507013,0.175663874243349,7.68035553159835,1.58647669178266e-14,3.79832351198426e-13,"MAP3K9"
"ENSG00000006611",29.130908543296,1.01197686167986,0.2766954203824,3.63532650709237,0.000277628784027534,0.00142513056591154,"USH1C"
"ENSG00000006740",84.7007619702324,1.43025764936394,0.231757712304907,6.16130876640179,7.21461601911414e-10,9.93099871879239e-09,"ARHGAP44"
"ENSG00000006788",34.7638807528505,1.46068408009316,0.26961572565302,5.30828506062108,1.10661479405822e-07,1.10118982632891e-06,"MYH13"
"ENSG00000007402",147.935224401644,1.76060002125396,0.200849102790454,8.69781840081948,3.38325391489093e-18,1.14182781522801e-16,"CACNA2D2"
"ENSG00000007516",375.243079924921,1.11433355509926,0.133884087399707,8.3145312793156,9.2115606088643e-17,2.75383389301501e-15,"BAIAP3"
"ENSG00000008277",323.96559068084,1.33445393964355,0.131486644514485,10.131322243158,4.01187221195782e-24,2.13651263120461e-22,"ADAM22"
"ENSG00000008311",65.7014616234015,2.27534711942666,0.245453479035248,8.87369354055184,7.07591057014952e-19,2.57416112845491e-17,"AASS"
"ENSG00000008323",56.4870222396724,1.1258223193944,0.241792122737319,4.63218848941444,3.61820505155356e-06,2.77550797961527e-05,"PLEKHG6"
"ENSG00000010030",54.7559292465451,1.0017039580693,0.245921085924374,4.04907838200217,5.14197226080672e-05,0.000312444527049279,"ETV7"
"ENSG00000010818",391.356440631451,1.1758503425956,0.125182507809733,9.37844372380526,6.69536417005647e-21,2.79093067160151e-19,"HIVEP2"
"ENSG00000011105",171.522038569188,1.10416586293583,0.174098778173628,6.32836489292884,2.47772665461379e-10,3.64719280341785e-09,"TSPAN9"
"ENSG00000011347",127.607684506425,1.49708431399316,0.211075876757357,7.05715368116074,1.69947639612593e-12,3.2831539867779e-11,"SYT7"
"ENSG00000012171",156.000139748286,1.18256617038375,0.184255313706085,6.3998741941839,1.55505026715341e-10,2.35970032955045e-09,"SEMA3B"
"ENSG00000012779",261.934429577741,1.0203915712784,0.135586037638354,7.51496784220921,5.69249249068455e-14,1.2807879489884e-12,"ALOX5"
"ENSG00000013016",160.755328081986,3.33172098308118,0.199002202647255,15.6927462828809,1.69558351264769e-55,3.59823373911267e-53,"EHD3"
"ENSG00000015413",22.1749412245074,1.79336280849863,0.288873413586211,5.75029344935645,8.90886828442007e-09,1.04635311691059e-07,"DPEP1"
"ENSG00000019102",34.6817830947486,1.45824015220734,0.270400348469944,5.28317146787455,1.26966451620534e-07,1.25011748428626e-06,"VSIG2"
"ENSG00000020181",122.368369297122,1.2792283593684,0.19883895412801,6.40661981270443,1.48781200179837e-10,2.26380172701662e-09,"ADGRA2"
"ENSG00000021300",64.702513560046,1.32266211264173,0.23643705060673,5.52612392547931,3.27382924742626e-08,3.52040325830727e-07,"PLEKHB1"
"ENSG00000025039",69.4359645962712,1.75226691515966,0.241373507333635,7.1602383287203,8.05369209031562e-13,1.61720446475929e-11,"RRAGD"
