p_val,avg_log2FC,pct.1,pct.2,p_val_adj,target_guide,target_gene,n_cells,n_control_cells
0.531062399,0.015288161,0.109,0.093,1,ANK2_1_promoter,AP1AR,165,33829
0.005858502,0.019945032,0.042,0.015,1,ANK2_1_promoter,ALPK1,165,33829
0.873336374,-0.043402568,0.703,0.676,1,ANK2_1_promoter,LARP7,165,33829
3.36E-179,0.340092206,0.145,0.003,7.00E-175,ANK2_1_promoter,ANK2,165,33829
0.476918747,0.01338888,0.055,0.043,1,ANK2_1_promoter,TIFA,165,33829
0.834135796,-0.000638685,0,0,1,ANK2_1_promoter,NEUROG2,165,33829
0.829910001,0.001237003,0.079,0.074,1,ANK2_1_promoter,ZGRF1,165,33829
0.864294973,-0.000376281,0,0,1,ANK2_1_promoter,CAMK2D,165,33829
0.030126068,0.030344374,0.131,0.093,1,ANK2_10_promoter,AP1AR,321,33673
0.07299908,0.010386822,0.028,0.015,1,ANK2_10_promoter,ALPK1,321,33673
0.346258727,0.000957986,0.773,0.675,1,ANK2_10_promoter,LARP7,321,33673
1.45E-11,0.043322201,0.028,0.004,3.02E-07,ANK2_10_promoter,ANK2,321,33673
0.403784567,0.007220361,0.053,0.043,1,ANK2_10_promoter,TIFA,321,33673
0.769642793,-0.000641643,0,0,1,ANK2_10_promoter,NEUROG2,321,33673
0.200746214,-0.042824752,0.056,0.074,1,ANK2_10_promoter,ZGRF1,321,33673
0.811064729,-0.000378024,0,0,1,ANK2_10_promoter,CAMK2D,321,33673
0.403359158,0.025783002,0.109,0.093,1,ANK2_11_Flashfry_promoter,AP1AR,221,33773
0.39838523,0.007240519,0.023,0.016,1,ANK2_11_Flashfry_promoter,ALPK1,221,33773
0.464654399,-0.079760705,0.688,0.676,1,ANK2_11_Flashfry_promoter,LARP7,221,33773
0.001067743,0.022733186,0.018,0.004,1,ANK2_11_Flashfry_promoter,ANK2,221,33773
0.237898331,-0.03169524,0.027,0.043,1,ANK2_11_Flashfry_promoter,TIFA,221,33773
0.808326327,-0.000639743,0,0,1,ANK2_11_Flashfry_promoter,NEUROG2,221,33773
0.390469686,0.004959469,0.09,0.074,1,ANK2_11_Flashfry_promoter,ZGRF1,221,33773
0.843035773,-0.000376905,0,0,1,ANK2_11_Flashfry_promoter,CAMK2D,221,33773
0.377176459,-0.003114807,0.119,0.093,1,ANK2_12_Flashfry_promoter,AP1AR,135,33859
0.446765435,-0.010864474,0.007,0.016,1,ANK2_12_Flashfry_promoter,ALPK1,135,33859
0.62569374,0.034826047,0.748,0.676,1,ANK2_12_Flashfry_promoter,LARP7,135,33859
0.544147942,0.00694091,0.007,0.004,1,ANK2_12_Flashfry_promoter,ANK2,135,33859
0.225975993,-0.044282706,0.022,0.043,1,ANK2_12_Flashfry_promoter,TIFA,135,33859
0.849859753,-0.000638119,0,0,1,ANK2_12_Flashfry_promoter,NEUROG2,135,33859
0.279587913,-0.07015296,0.052,0.074,1,ANK2_12_Flashfry_promoter,ZGRF1,135,33859
0.877223251,-0.000375948,0,0,1,ANK2_12_Flashfry_promoter,CAMK2D,135,33859
0.228879971,0.021768603,0.118,0.093,1,ANK2_13_Flashfry_promoter,AP1AR,220,33774
0.050348983,0.026237954,0.032,0.015,1,ANK2_13_Flashfry_promoter,ALPK1,220,33774
0.949774057,-0.001633479,0.714,0.676,1,ANK2_13_Flashfry_promoter,LARP7,220,33774
0.025834218,0.020614186,0.014,0.004,1,ANK2_13_Flashfry_promoter,ANK2,220,33774
0.423417082,0.007289486,0.055,0.043,1,ANK2_13_Flashfry_promoter,TIFA,220,33774
0.808755253,-0.000639724,0,0,1,ANK2_13_Flashfry_promoter,NEUROG2,220,33774
0.489006443,-0.046818791,0.064,0.074,1,ANK2_13_Flashfry_promoter,ZGRF1,220,33774
0.84338951,-0.000376894,0,0,1,ANK2_13_Flashfry_promoter,CAMK2D,220,33774
0.51240055,-0.048117426,0.08,0.093,1,ANK2_14_Flashfry_promoter,AP1AR,174,33820
0.294520752,-0.018182062,0.006,0.016,1,ANK2_14_Flashfry_promoter,ALPK1,174,33820
0.223044545,-0.097266572,0.724,0.676,1,ANK2_14_Flashfry_promoter,LARP7,174,33820
0.006460483,0.021504458,0.017,0.004,1,ANK2_14_Flashfry_promoter,ANK2,174,33820
0.540918837,-0.035852757,0.034,0.043,1,ANK2_14_Flashfry_promoter,TIFA,174,33820
0.829711611,-0.000638855,0,0,1,ANK2_14_Flashfry_promoter,NEUROG2,174,33820
0.535201365,-0.042589739,0.063,0.074,1,ANK2_14_Flashfry_promoter,ZGRF1,174,33820
0.860654358,-0.000376381,0,0,1,ANK2_14_Flashfry_promoter,CAMK2D,174,33820
0.566458636,-0.057548678,0.083,0.093,1,ANK2_15_Flashfry_promoter,AP1AR,157,33837
0.762933683,-0.015519073,0.013,0.016,1,ANK2_15_Flashfry_promoter,ALPK1,157,33837
0.965310294,-0.049965954,0.694,0.676,1,ANK2_15_Flashfry_promoter,LARP7,157,33837
0.087560901,0.030546677,0.013,0.004,1,ANK2_15_Flashfry_promoter,ANK2,157,33837
0.730186525,-0.025649471,0.038,0.043,1,ANK2_15_Flashfry_promoter,TIFA,157,33837
0.838174042,-0.000638534,0,0,1,ANK2_15_Flashfry_promoter,NEUROG2,157,33837
0.617200647,-0.017893219,0.064,0.074,1,ANK2_15_Flashfry_promoter,ZGRF1,157,33837
0.867616801,-0.000376192,0,0,1,ANK2_15_Flashfry_promoter,CAMK2D,157,33837
